Matricula,Nome,Sobrenome,Telefone,Email,Endereco,Sexo,Curso
10057,Daron,Robinson,0-300-583-5838,Daron_Robinson9253@muall.tech,"Camden  Walk, 6200",M,Art
10058,Mavis,Smith,2-505-153-5271,Mavis_Smith1192@gompie.com,"Elia   Lane, 8628",F,Design and technology
10059,Maggie,Hastings,3-210-606-5144,Maggie_Hastings5380@supunk.biz,"Camden  Walk, 93",F,Ancient Civilizations
10060,Chuck,Shelton,6-577-077-6203,Chuck_Shelton8020@atink.com,"Aspen Boulevard, 9266",M,Economics
10061,Winnie,Miller,0-365-110-7143,Winnie_Miller9906@fuliss.net,"Thrale   Rue, 3369",F,Speech
10062,Juliet,Hilton,8-306-284-0786,Juliet_Hilton2630@dionrab.com,"Dunton  Street, 1134",F,Spanish
10063,Mike,Umney,0-507-105-5372,Mike_Umney8594@famism.biz,"Chestnut  Drive, 6274",M,Design and technology
10064,Benny,Potter,3-456-814-2066,Benny_Potter659@extex.org,"Blackall   Crossroad, 255",M,Leadership
10065,Noah,Palmer,4-143-042-4382,Noah_Palmer2225@twace.org,"Betton  Road, 4125",M,Science
10066,Sage,Fields,2-047-021-5874,Sage_Fields6619@jiman.org,"Blackall   Grove, 1109",F,Spanish
10067,Jocelyn,Selby,5-637-717-5777,Jocelyn_Selby7773@twace.org,"Queensberry  Road, 65",F,Latin
10068,Elena,Doherty,4-175-775-2622,Elena_Doherty9116@iatim.tech,"Sundown Boulevard, 826",F,Science
10069,Nicholas,Grady,0-857-163-0683,Nicholas_Grady761@qater.org,"Elizabeth  Way, 6023",M,Art
10070,Wade,Plumb,0-547-436-8561,Wade_Plumb8272@guentu.biz,"Durnford  Street, 1848",M,Accounting
10071,Hank,Martin,0-387-646-4626,Hank_Martin850@nickia.com,"Calvin   Route, 1225",M,Speech
10072,Ron,Crawford,0-212-874-3522,Ron_Crawford378@sveldo.biz,"Oxford Street, 6008",M,Accounting
10073,William,Clarkson,8-446-137-0506,William_Clarkson5117@fuliss.net,"King Alley, 7008",M,Instrumental Music
10074,Fiona,Hewitt,0-840-581-4883,Fiona_Hewitt6407@brety.org,"Birkin   Pass, 7697",F,Language Arts
10075,Anabelle,Murray,8-244-000-8381,Anabelle_Murray8005@supunk.biz,"Thoresby   Hill, 9464",F,Speech
10076,Owen,Marshall,6-137-283-8002,Owen_Marshall5945@deavo.com,"Arlington  Rue, 362",M,Economics
10077,Moira,Scott,4-017-311-7708,Moira_Scott9989@typill.biz,"Geffrye   Vale, 653",F,Instrumental Music
10078,Julian,Beal,3-781-678-8114,Julian_Beal5830@bulaffy.com,"Berriman  Alley, 2350",M,Design and technology
10079,Sharon,Wright,2-825-874-8757,Sharon_Wright3331@muall.tech,"Coley  Street, 2440",F,Health
10080,Quinn,Jefferson,5-843-810-7582,Quinn_Jefferson5121@zorer.org,"Sheringham   Crossroad, 6161",F,Grammar
10081,Bryon,Sawyer,2-462-288-8324,Bryon_Sawyer9435@tonsy.org,"Durham Alley, 8176",M,Art
10082,Amelia,Briggs,2-647-703-5082,Amelia_Briggs9313@infotech44.tech,"Calshot   Route, 7676",F,Trigonometry
10083,Carissa,Walton,2-575-546-7372,Carissa_Walton8146@naiker.biz,"Cavell   Walk, 2534",F,Economics
10084,Ruth,Avery,3-310-126-0034,Ruth_Avery4057@bretoux.com,"Cloth  Alley, 6168",F,American Literature
10085,Benny,Ingram,5-101-125-4613,Benny_Ingram5420@irrepsy.com,"Spruce Boulevard, 6907",M,Physical Education
10086,Makenzie,Bowen,3-373-406-5132,Makenzie_Bowen145@womeona.net,"Cheney  Street, 1486",F,Modern Literature
10087,Rachael,Butler,2-107-717-8664,Rachael_Butler5045@deons.tech,"Blean   Rue, 1479",F,Health
10088,Irene,Thomas,5-714-800-4531,Irene_Thomas9249@gembat.biz,"Black Friars   Street, 7680",F,Health
10089,Leslie,Hunter,4-664-454-0137,Leslie_Hunter2302@muall.tech,"Cliffords  Route, 9535",F,Spanish
10090,Danny,Ranks,0-235-704-3102,Danny_Ranks160@nanoff.biz,"Lexington Vale, 3791",M,Ecology
10091,George,Khan,4-026-437-7177,George_Khan1771@ubusive.com,"Colombo   Route, 4129",M,Dramatics
10092,Zoe,Reid,0-341-452-5235,Zoe_Reid1513@qater.org,"Charterhouse  Tunnel, 525",F,Basic Math
10093,Danny,Styles,8-147-756-8088,Danny_Styles5293@bungar.biz,"Queen Caroline   Rue, 7884",M,Geography
10094,Evie,Nayler,8-310-471-3028,Evie_Nayler3227@famism.biz,"Clarges   Vale, 9868",F,Speech
10095,Jacqueline,Neal,2-465-815-2327,Jacqueline_Neal1928@ubusive.com,"Rivervalley Walk, 3349",F,English IV
10096,Teagan,Fisher,0-581-734-7037,Teagan_Fisher9784@iatim.tech,"Cardinal Lane, 4586",F,Earth Science
10097,Michael,Forth,5-011-602-5522,Michael_Forth9264@fuliss.net,"Biggerstaff   Crossroad, 7949",M,Modern Literature
10098,Henry,Farrell,2-701-638-7378,Henry_Farrell636@cispeto.com,"Argyle  Way, 7789",M,American Literature
10099,Ethan,Burge,4-140-540-5840,Ethan_Burge4657@iatim.tech,"Virgil   Street, 1318",M,Modern Literature
10100,Tyson,Gonzales,1-427-472-0383,Tyson_Gonzales8991@bretoux.com,"Commercial  Pass, 4634",M,Geography
10101,Holly,Jenkins,3-285-703-5106,Holly_Jenkins7559@gmail.com,"West Way, 3075",F,American Literature
10102,Harvey,Turner,5-555-254-6686,Harvey_Turner5723@gompie.com,"Collent   Street, 2789",M,Trigonometry
10103,Sienna,Mcgregor,1-751-830-1882,Sienna_Mcgregor321@gompie.com,"Berry  Rue, 3231",F,Earth Science
10104,Nancy,Jobson,3-101-753-0848,Nancy_Jobson93@jiman.org,"Wager   Pass, 264",F,Mathematics
10105,Jacob,Nelson,7-034-884-8202,Jacob_Nelson8529@supunk.biz,"Berry  Rue, 5366",M,American Literature
10106,Julius,Campbell,0-320-228-2512,Julius_Campbell5804@irrepsy.com,"Under  Alley, 6613",M,Instrumental Music
10107,Emmanuelle,Nicolas,6-461-860-4424,Emmanuelle_Nicolas6891@supunk.biz,"Collent   Way, 1172",F,Accounting
10108,Benny,Atkinson,5-802-815-7220,Benny_Atkinson7881@famism.biz,"Cheltenham  Drive, 6177",M,Ancient Civilizations
10109,Jackeline,Clarke,1-868-084-4100,Jackeline_Clarke3371@joiniaa.com,"Birkin   Hill, 6747",F,Latin
10110,Chad,James,1-848-235-4520,Chad_James6728@qater.org,"South Drive, 2759",M,Resource Program
10111,Javier,Turner,1-184-523-8830,Javier_Turner4489@tonsy.org,"Calvin   Drive, 2343",M,Language Arts
10112,Kurt,Watson,4-785-555-3412,Kurt_Watson2775@twipet.com,"Timber   Pass, 5212",M,Health
10113,Zara,Garner,6-702-548-0306,Zara_Garner3711@twipet.com,"Cliffords  Grove, 198",F,Geography
10114,Rosa,Amstead,4-261-802-6404,Rosa_Amstead5370@corti.com,"Bendmore  Lane, 9220",F,Spanish
10115,Christy,Cox,1-058-822-4553,Christy_Cox4236@fuliss.net,"Dunstable   Hill, 3233",F,Language Arts
10116,Boris,Middleton,7-027-784-0315,Boris_Middleton2477@tonsy.org,"Fairview Tunnel, 1184",M,Design and technology
10117,Eileen,Jenkins,7-401-452-5315,Eileen_Jenkins8479@yahoo.com,"Boldero   Road, 3239",F,Sociology
10118,Beatrice,York,2-361-772-1775,Beatrice_York7640@sveldo.biz,"Elia   Hill, 1928",F,Basic Math
10119,Elijah,Ingham,8-083-102-7164,Elijah_Ingham2117@typill.biz,"Parkgate  Road, 3237",M,Speech
10120,Matt,James,5-200-823-1370,Matt_James5499@bulaffy.com,"Cheltenham  Route, 8019",M,Health
10121,Robyn,Goodman,5-114-235-7764,Robyn_Goodman1967@sveldo.biz,"Cheltenham  Pass, 9425",F,History
10122,Alexander,Wilde,7-735-815-4180,Alexander_Wilde9669@extex.org,"Besson  Street, 8333",M,Dramatics
10123,Maria,Porter,5-143-786-7438,Maria_Porter2132@bauros.biz,"Ely  Tunnel, 7544",F,Ancient Civilizations
10124,Anthony,Watt,5-632-134-0758,Anthony_Watt9596@joiniaa.com,"Apostle  Way, 8701",M,Leadership
10125,Noah,Wilde,6-516-228-0515,Noah_Wilde9208@bulaffy.com,"Blackpool  Avenue, 1551",M,Health
10126,Maxwell,Bingham,6-782-345-7520,Maxwell_Bingham493@nimogy.biz,"Ben   Vale, 1968",M,Spanish
10127,Oliver,Rodgers,1-420-421-6135,Oliver_Rodgers7105@bulaffy.com,"Heritage Walk, 2589",M,Spanish
10128,Sebastian,Larsen,0-857-203-8574,Sebastian_Larsen5851@deavo.com,"Enford   Boulevard, 6618",M,LOGIC
10129,Angelica,Eastwood,3-743-683-8883,Angelica_Eastwood3580@hourpy.biz,"Antrobus   Hill, 6210",F,History
10130,Samantha,Stone,4-501-144-5205,Samantha_Stone7022@yahoo.com,"Shepherds  Road, 2120",F,Economics
10131,Bart,Utterson,6-712-747-0057,Bart_Utterson8254@joiniaa.com,"Tisbury  Tunnel, 4331",M,Dramatics
10132,Cedrick,Tobin,6-865-734-3571,Cedrick_Tobin6753@brety.org,"Bigland  Crossroad, 8059",M,Basic Math
10133,Mason,Garner,2-367-576-7276,Mason_Garner1494@nickia.com,"Wake  Crossroad, 4839",M,Geography
10134,Sebastian,Sherry,3-761-683-5223,Sebastian_Sherry2273@naiker.biz,"Chester  Hill, 9739",M,Sociology
10135,Abdul,Jeffery,2-844-078-2220,Abdul_Jeffery4233@bungar.biz,"Bacton   Way, 613",M,Design and technology
10136,Chadwick,Bryson,0-538-842-4773,Chadwick_Bryson4818@fuliss.net,"Egerton  Crossroad, 2421",M,Trigonometry
10137,Francesca,Mills,8-037-758-8027,Francesca_Mills4020@irrepsy.com,"Blackwall  Boulevard, 886",F,German
10138,Adelaide,Moore,4-358-866-7026,Adelaide_Moore9500@qater.org,"Cloth  Hill, 122",F,Modern Literature
10139,Lucas,Evans,6-550-475-1046,Lucas_Evans7158@corti.com,"Chester  Rue, 7306",M,Design and technology
10140,Marvin,Flack,8-814-526-0414,Marvin_Flack2945@gembat.biz,"Apollo  Pass, 342",M,Ancient Civilizations
10141,Hadley,Aldridge,0-782-358-2200,Hadley_Aldridge2514@cispeto.com,"Carol   Rue, 4506",F,Spanish
10142,Gladys,Pierce,4-223-258-6048,Gladys_Pierce9531@elnee.tech,"Apsley    Alley, 2073",F,Music
10143,Hayden,Wise,2-030-600-5243,Hayden_Wise3913@mafthy.com,"St. Johs  Hill, 6044",M,Geography
10144,Anthony,Walker,2-502-085-2356,Anthony_Walker9441@twipet.com,"Underwood  Boulevard, 8771",M,Earth Science
10145,Kimberly,Blythe,6-045-724-5317,Kimberly_Blythe9022@gembat.biz,"Elia   Grove, 4036",F,Trigonometry
10146,Chris,White,7-864-222-6342,Chris_White972@irrepsy.com,"Bayberry Hill, 5118",M,Science
10147,William,Lakey,0-380-027-4585,William_Lakey3806@sheye.org,"Lincoln Vale, 8560",M,French
10148,Carmen,Rose,8-657-648-8034,Carmen_Rose4409@nimogy.biz,"Pine Avenue, 7277",F,Science
10149,Christine,Hudson,7-566-643-5564,Christine_Hudson7181@sheye.org,"Cedarne  Pass, 3646",F,Basic Math
10150,Cedrick,Cooper,5-408-015-1621,Cedrick_Cooper9248@iatim.tech,"Byland  Alley, 9061",M,Modern Literature
10151,Caleb,Graves,3-686-876-3180,Caleb_Graves4967@nickia.com,"Blean   Road, 5734",M,Trigonometry
10152,Abdul,Williams,8-337-175-4128,Abdul_Williams3711@acrit.org,"Belmont Park Crossroad, 1474",M,American Literature
10153,Michaela,Matthews,4-303-880-2234,Michaela_Matthews7670@deavo.com,"St. Pauls  Tunnel, 5874",F,Instrumental Music
10154,Gwen,Grey,0-511-281-3540,Gwen_Grey8899@sheye.org,"Fairview Road, 2715",F,Sociology
10155,Marjorie,Ellery,7-735-564-5233,Marjorie_Ellery6984@zorer.org,"Birkenhead   Walk, 9219",F,Trigonometry
10156,Maria,Holmes,6-837-802-2550,Maria_Holmes6495@sheye.org,"Coley  Pass, 7892",F,Health
10157,Selena,Addis,2-151-872-3057,Selena_Addis6514@gembat.biz,"Antrobus   Drive, 9408",F,Health
10158,Parker,Little,6-630-030-1787,Parker_Little2243@famism.biz,"Beechen  Walk, 7785",F,Modern Literature
10159,Robyn,Morrison,4-028-506-7784,Robyn_Morrison3655@iatim.tech,"Sheffield Route, 2903",F,Resource Program
10160,Gwenyth,Donovan,2-583-151-1053,Gwenyth_Donovan2356@jiman.org,"Clerkenwell Pass, 1366",F,French
10161,Josephine,Emmott,8-837-383-4416,Josephine_Emmott8796@bauros.biz,"Chestnut Rise Route, 2978",F,Mathematics
10162,Cameron,Cork,6-311-326-1022,Cameron_Cork8812@bungar.biz,"Zealand Rue, 5766",F,Grammar
10163,Courtney,Burnley,4-353-402-7416,Courtney_Burnley6817@mafthy.com,"Baylis  Way, 2424",F,Geography
10164,Fred,Denton,4-848-786-6057,Fred_Denton8246@fuliss.net,"Balfe   Lane, 4577",M,Instrumental Music
10165,Chadwick,Flett,5-141-300-3760,Chadwick_Flett664@ubusive.com,"Endsleigh  Avenue, 1937",M,Accounting
10166,Teagan,Harrington,4-487-586-7822,Teagan_Harrington3510@fuliss.net,"Howard Pass, 9281",F,Economics
10167,Rick,Brown,1-866-613-2302,Rick_Brown7540@tonsy.org,"Queensberry  Rue, 6243",M,Language Arts
10168,Tyson,Pearce,7-376-216-2521,Tyson_Pearce9970@brety.org,"Sundown Hill, 1546",M,Design and technology
10169,Leroy,Kent,4-105-760-2467,Leroy_Kent1846@hourpy.biz,"Burton  Avenue, 9701",M,English IV
10170,Mason,Noach,7-706-470-4272,Mason_Noach1668@yahoo.com,"Duthie   Tunnel, 7598",M,Ecology
10171,Owen,Adams,0-437-800-1056,Owen_Adams5972@womeona.net,"Bingham   Tunnel, 9913",M,English IV
10172,William,Waterhouse,1-840-782-1874,William_Waterhouse165@yahoo.com,"Commercial  Route, 6021",M,Earth Science
10173,Matt,Whittle,1-245-458-6215,Matt_Whittle6131@twace.org,"Falconberg   Way, 9717",M,Geography
10174,Rocco,Mackenzie,1-625-488-3870,Rocco_Mackenzie220@grannar.com,"Blanchard  Way, 9168",M,Music
10175,Alan,Wills,5-673-877-5146,Alan_Wills1846@bretoux.com,"Bishop   Hill, 2740",M,Handwriting
10176,David,Franks,3-345-578-0377,David_Franks5855@womeona.net,"Hickory Lane Drive, 3952",M,Dramatics
10177,Margot,Holmes,6-237-280-5424,Margot_Holmes1327@dionrab.com,"Belmore  Boulevard, 3540",F,Basic Math
10178,Alexander,Robinson,7-675-755-7746,Alexander_Robinson91@iatim.tech,"Cadogan  Alley, 1098",M,English IV
10179,Mabel,Fulton,7-424-415-0320,Mabel_Fulton2670@tonsy.org,"Lincoln Way, 5633",F,Economics
10180,Martha,Stewart,5-771-352-2080,Martha_Stewart9357@nanoff.biz,"Magnolia Street, 5408",F,Basic Math
10181,Emma,Coll,4-156-364-4474,Emma_Coll3962@muall.tech,"Central  Rue, 4677",F,Handwriting
10182,Florence,Rigg,2-282-003-0010,Florence_Rigg5750@bungar.biz,"Parkfields Way, 2110",F,Handwriting
10183,Norah,Ramsey,4-054-464-0726,Norah_Ramsey5680@famism.biz,"Yoakley Lane, 6800",F,Ancient Civilizations
10184,Barney,Blackwall,3-647-600-2805,Barney_Blackwall5446@deons.tech,"Sheraton   Vale, 3493",M,Ecology
10185,Denis,Jarrett,2-720-706-4852,Denis_Jarrett7184@nanoff.biz,"Aylward   Route, 1382",M,Instrumental Music
10186,Clint,Tindall,7-200-837-2582,Clint_Tindall2494@gompie.com,"Coal Wharf  Crossroad, 1794",M,Resource Program
10187,Aisha,Thompson,8-337-857-1066,Aisha_Thompson3288@twace.org,"Coalecroft  Way, 1872",F,Latin
10188,Noah,Patel,3-684-584-8886,Noah_Patel1857@deons.tech,"Queen Crossroad, 6961",M,Handwriting
10189,Ronald,Carter,4-158-362-8782,Ronald_Carter4187@womeona.net,"Under  Pass, 4597",M,Basic Math
10190,Stacy,Hudson,1-601-046-4788,Stacy_Hudson9086@deons.tech,"Chandos  Avenue, 3218",F,German
10191,Wade,Morrison,0-036-520-2760,Wade_Morrison7088@zorer.org,"Charnwood   Grove, 5849",M,Ancient Civilizations
10192,Rufus,Young,0-824-472-1714,Rufus_Young706@twipet.com,"Elf  Rue, 6442",M,Economics
10193,Johnathan,Lee,8-281-130-6660,Johnathan_Lee7185@irrepsy.com,"Adams  Alley, 688",M,Leadership
10194,Kurt,Steer,0-455-526-8388,Kurt_Steer8112@eirey.tech,"Egerton  Pass, 4125",M,Science
10195,Zara,Bentley,0-333-705-5137,Zara_Bentley8930@atink.com,"Magnolia Pass, 2988",F,Trigonometry
10196,Leroy,Wise,3-708-183-5880,Leroy_Wise5436@nimogy.biz,"Chambers  Alley, 1667",M,Grammar
10197,Camden,Becker,2-518-010-1652,Camden_Becker2@vetan.org,"Beatty  Hill, 4168",F,Dramatics
10198,Hadley,Preston,1-463-485-1278,Hadley_Preston625@elnee.tech,"Cavaye  Tunnel, 8537",F,American Literature
10199,Chadwick,Khan,1-274-024-6710,Chadwick_Khan9947@kideod.biz,"Arlington  Alley, 4144",M,Trigonometry
10200,Luke,Simpson,4-628-152-5443,Luke_Simpson8321@gmail.com,"Elia   Street, 9591",M,Mathematics
10201,Makenzie,Richards,3-670-881-3344,Makenzie_Richards9494@gompie.com,"Champion  Hill, 4733",F,Design and technology
10202,Alan,Mason,3-661-018-4625,Alan_Mason3589@mafthy.com,"Howard Road, 4825",M,Sociology
10203,Tony,King,0-887-725-4147,Tony_King8195@tonsy.org,"Endsleigh  Road, 1407",M,Design and technology
10204,Sebastian,Willis,5-275-864-8661,Sebastian_Willis1035@dionrab.com,"Bel   Pass, 8069",M,History
10205,Daron,Beal,5-774-388-3826,Daron_Beal8864@twace.org,"Charnwood   Pass, 701",M,LOGIC
10206,Gil,Giles,4-666-162-3558,Gil_Giles9382@fuliss.net,"Elf  Route, 95",M,Earth Science
10207,Scarlett,Snell,6-431-888-6832,Scarlett_Snell2408@irrepsy.com,"Egerton  Alley, 1082",F,History
10208,Cynthia,Cooper,3-578-123-0227,Cynthia_Cooper5154@qater.org,"Sundown Tunnel, 3216",F,Sociology
10209,Nate,Evans,5-256-482-8223,Nate_Evans8720@muall.tech,"Union  Crossroad, 5838",M,Instrumental Music
10210,Benjamin,Flynn,6-046-537-7205,Benjamin_Flynn3334@joiniaa.com,"Glenwood Boulevard, 1625",M,Dramatics
10211,William,Redwood,0-045-123-6230,William_Redwood7178@bungar.biz,"Falconberg   Vale, 1927",M,Design and technology
10212,Julianna,Rogan,8-274-264-3013,Julianna_Rogan5991@cispeto.com,"Clissold  Alley, 9686",F,Ancient Civilizations
10213,Jack,Bell,0-545-471-8266,Jack_Bell5715@famism.biz,"Ernest  Walk, 6500",M,Art
10214,Irene,Hope,1-151-310-2844,Irene_Hope188@dionrab.com,"Cecilia  Hill, 2935",F,Language Arts
10215,Aisha,Darcy,6-460-452-2845,Aisha_Darcy5387@brety.org,"Chantry   Grove, 8985",F,Geography
10216,Savannah,Alexander,3-124-821-3125,Savannah_Alexander5734@zorer.org,"Wager   Rue, 9280",F,Design and technology
10217,Enoch,Grey,8-074-381-3352,Enoch_Grey2253@deavo.com,"Bel   Route, 4616",M,Ecology
10218,Henry,Roth,7-188-737-8311,Henry_Roth3247@qater.org,"Lake Vale, 4014",M,Speech
10219,David,Adams,6-533-112-4531,David_Adams6985@ovock.tech,"Chestnut  Crossroad, 8572",M,Economics
10220,Daron,Overson,0-418-772-0378,Daron_Overson9710@fuliss.net,"Howard Way, 6226",M,Accounting
10221,Clint,Flanders,7-685-832-4517,Clint_Flanders8019@womeona.net,"Clissold  Alley, 2356",M,Music
10222,Gil,Woodley,1-526-801-2862,Gil_Woodley7879@bungar.biz,"Baylis  Walk, 1997",M,Latin
10223,Brooklyn,Freeburn,7-601-424-3130,Brooklyn_Freeburn4567@deons.tech,"Castle Vale, 6868",F,Latin
10224,Roger,Ellis,5-350-542-0126,Roger_Ellis1329@guentu.biz,"Fairview Lane, 1307",M,Economics
10225,Julius,Harvey,6-312-755-4302,Julius_Harvey8456@gembat.biz,"Coley  Tunnel, 4948",M,Resource Program
10226,Barry,Janes,8-022-111-5344,Barry_Janes3932@irrepsy.com,"Cliff  Alley, 4238",M,Instrumental Music
10227,Mason,Blackwall,7-242-616-5358,Mason_Blackwall4788@corti.com,"Collent   Tunnel, 8808",M,Trigonometry
10228,Lana,Wilkinson,0-464-621-0408,Lana_Wilkinson5408@hourpy.biz,"Camberwell  Walk, 8136",F,French
10229,Maya,Foxley,8-748-817-4613,Maya_Foxley2297@gompie.com,"Ashley Walk, 7789",F,Design and technology
10230,Evie,Rosenbloom,8-508-644-0803,Evie_Rosenbloom9087@yahoo.com,"Egerton  Rue, 1679",F,Grammar
